10 200 0.0000001780 10
10010 200 0.0000219120 10010
20010 200 0.0000436920 20010
30010 200 0.0000546360 30010
40010 200 0.0000876780 40010
50010 200 0.0000986470 50010
60010 200 0.0001261160 60010
70010 200 0.0001467910 70010
80010 200 0.0001727420 80010
90010 200 0.0001774600 90010
100010 200 0.0001722870 100010
110010 200 0.0001900390 110010
120010 200 0.0002059290 120010
130010 200 0.0002235730 130010
140010 200 0.0002506810 140010
150010 200 0.0002744850 150010
160010 200 0.0002989870 160010
170010 200 0.0003374330 170010
180010 200 0.0003246430 180010
190010 200 0.0003529830 190010
200010 200 0.0003511100 200010
210010 200 0.0003620380 210010
220010 200 0.0003856860 220010
230010 200 0.0004474910 230010
240010 200 0.0004503260 240010
250010 200 0.0004526650 250010
260010 200 0.0004657860 260010
270010 200 0.0004651740 270010
280010 200 0.0005395380 280010
290010 200 0.0005491350 290010
300010 200 0.0005469700 300010
310010 200 0.0005565610 310010
320010 200 0.0006201300 320010
330010 200 0.0006045870 330010
340010 200 0.0006574230 340010
350010 200 0.0006169080 350010
360010 200 0.0007140140 360010
370010 200 0.0006627650 370010
380010 200 0.0006873930 380010
390010 200 0.0006995650 390010
400010 200 0.0007382030 400010
410010 200 0.0007621950 410010
420010 200 0.0007869540 420010
430010 200 0.0007741360 430010
440010 200 0.0007930240 440010
450010 200 0.0008400160 450010
460010 200 0.0009319190 460010
470010 200 0.0008493040 470010
480010 200 0.0009347570 480010
490010 200 0.0009571200 490010
500010 200 0.0009451700 500010
510010 200 0.0009734850 510010
520010 200 0.0010063130 520010
530010 200 0.0009728460 530010
540010 200 0.0010810670 540010
550010 200 0.0010747570 550010
560010 200 0.0010419010 560010
570010 200 0.0011353360 570010
580010 200 0.0010997280 580010
590010 200 0.0011722380 590010
600010 200 0.0011456390 600010
610010 200 0.0012063750 610010
620010 200 0.0012177590 620010
630010 200 0.0012524280 630010
640010 200 0.0012070290 640010
650010 200 0.0012680970 650010
660010 200 0.0012948730 660010
670010 200 0.0013449090 670010
680010 200 0.0013095350 680010
690010 200 0.0012947240 690010
700010 200 0.0014626260 700010
710010 200 0.0013960240 710010
720010 200 0.0013499660 720010
730010 200 0.0013500710 730010
740010 200 0.0013490640 740010
750010 200 0.0014691890 750010
760010 200 0.0014365020 760010
770010 200 0.0014513460 770010
780010 200 0.0014710180 780010
790010 200 0.0014373900 790010
800010 200 0.0014744330 800010
810010 200 0.0014977280 810010
820010 200 0.0015871680 820010
830010 200 0.0015671010 830010
840010 200 0.0016383530 840010
850010 200 0.0016070010 850010
860010 200 0.0016442690 860010
870010 200 0.0016208660 870010
880010 200 0.0017630790 880010
890010 200 0.0017119040 890010
900010 200 0.0015846460 900010
910010 200 0.0017709610 910010
920010 200 0.0017651880 920010
930010 200 0.0017782880 930010
940010 200 0.0017989480 940010
950010 200 0.0019090040 950010
960010 200 0.0018421310 960010
970010 200 0.0018429050 970010
980010 200 0.0018435280 980010
990010 200 0.0019658440 990010
1000010 200 0.0018595170 1000010
1010010 200 0.0018804130 1010010
1020010 200 0.0019103570 1020010
1030010 200 0.0018754040 1030010
1040010 200 0.0019892100 1040010
1050010 200 0.0019799510 1050010
1060010 200 0.0019773790 1060010
1070010 200 0.0019859380 1070010
1080010 200 0.0020100160 1080010
1090010 200 0.0021193830 1090010
1100010 200 0.0020252740 1100010
1110010 200 0.0021015690 1110010
1120010 200 0.0021215370 1120010
1130010 200 0.0020691620 1130010
1140010 200 0.0022142250 1140010
1150010 200 0.0022416810 1150010
1160010 200 0.0022210640 1160010
1170010 200 0.0021956990 1170010
1180010 200 0.0022854020 1180010
1190010 200 0.0021543510 1190010
1200010 200 0.0022271030 1200010
1210010 200 0.0022879440 1210010
1220010 200 0.0023533550 1220010
1230010 200 0.0023280540 1230010
1240010 200 0.0022875670 1240010
1250010 200 0.0023931420 1250010
1260010 200 0.0023203360 1260010
1270010 200 0.0024690590 1270010
1280010 200 0.0023253420 1280010
1290010 200 0.0024141070 1290010
1300010 200 0.0024494110 1300010
1310010 200 0.0025049550 1310010
1320010 200 0.0024065430 1320010
1330010 200 0.0024846600 1330010
1340010 200 0.0025161560 1340010
1350010 200 0.0025301750 1350010
1360010 200 0.0025426760 1360010
1370010 200 0.0025042640 1370010
1380010 200 0.0026412390 1380010
1390010 200 0.0026365060 1390010
1400010 200 0.0027582280 1400010
1410010 200 0.0026070900 1410010
1420010 200 0.0027425670 1420010
1430010 200 0.0027801080 1430010
1440010 200 0.0027657170 1440010
1450010 200 0.0027490810 1450010
1460010 200 0.0027931420 1460010
1470010 200 0.0027896690 1470010
1480010 200 0.0028289280 1480010
1490010 200 0.0027590380 1490010
1500010 200 0.0028613840 1500010
1510010 200 0.0027851240 1510010
1520010 200 0.0028681660 1520010
1530010 200 0.0028743800 1530010
1540010 200 0.0029815080 1540010
1550010 200 0.0029284150 1550010
1560010 200 0.0030157020 1560010
1570010 200 0.0029596410 1570010
1580010 200 0.0029558270 1580010
1590010 200 0.0029901050 1590010
1600010 200 0.0029993620 1600010
1610010 200 0.0030759880 1610010
1620010 200 0.0029742530 1620010
1630010 200 0.0032550940 1630010
1640010 200 0.0030675940 1640010
1650010 200 0.0031536220 1650010
1660010 200 0.0031573550 1660010
1670010 200 0.0031565750 1670010
1680010 200 0.0031413110 1680010
1690010 200 0.0030933820 1690010
1700010 200 0.0032978140 1700010
1710010 200 0.0032077000 1710010
1720010 200 0.0032682220 1720010
1730010 200 0.0032025180 1730010
1740010 200 0.0032894480 1740010
1750010 200 0.0032450940 1750010
